Sample_ID,City,Initial_Ahref_rank,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05
1,San Antonio,8,7,11,9,10,10,12,9,7,7,6,12,15,15,14,10,11,11,11,11,9,11,11,11,11,10,9,10,10,10,10,10,10
2,San Antonio,13,13,13,14,13,15,12,14,15,15,15,13,14,14,14,12,10,10,9,10,10,10,10,10,10,11,11,11,11,10,11,11,11
3,San Antonio,27,,,,26,26,26,26,26,23,23,22,24,24,27,23,23,23,23,22,23,23,23,24,23,24,24,24,24,23,23,23,23
4,Los Angeles,4,6,5,5,5,5,5,4,4,4,4,7,8,9,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5,Los Angeles,13,14,15,17,17,17,17,17,16,17,18,18,18,20,19,16,17,17,16,17,16,17,17,17,19,19,21,21,25,26,26,26,26
6,Los Angeles,23,26,25,29,25,25,29,29,29,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
7,Brooklyn,5,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,Brooklyn,13,3,5,7,7,7,7,11,7,6,5,4,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1
9,Brooklyn,26,,,26,26,26,30,30,30,30,29,29,21,23,23,23,22,22,22,21,21,21,21,22,23,23,22,22,22,22,22,22,22
10,Miami,9,12,12,12,12,13,12,11,11,12,11,12,13,14,14,11,10,10,10,10,10,10,8,9,8,7,8,8,8,8,8,8,8
11,Miami,12,15,16,16,18,15,15,13,15,14,14,17,20,21,20,16,17,16,15,16,20,18,17,18,28,23,21,19,20,20,22,23,23
12,Miami,29,29,29,28,30,30,29,29,29,29,29,33,33,33,33,29,30,30,29,29,30,30,30,29,29,30,28,28,28,29,30,30,30
13,Houston,9,11,11,9,10,9,10,10,10,11,12,11,11,12,12,8,7,7,7,7,7,7,7,7,8,7,8,8,8,9,8,8,8
14,Houston,11,19,17,18,18,19,19,19,19,20,21,21,22,23,23,19,18,18,18,19,20,19,18,19,18,17,17,17,17,17,18,17,18
15,Houston,23,21,21,20,22,18,21,23,23,21,17,17,17,19,19,16,16,16,17,17,17,19,20,19,19,22,23,22,22,22,22,21,21
16,Chicago,3,8,8,6,5,3,2,2,2,3,3,4,4,5,7,4,4,4,3,3,3,3,4,3,3,4,5,5,5,4,4,4,4
17,Chicago,15,19,18,18,15,19,14,16,14,12,11,11,13,13,13,12,12,12,15,14,13,13,13,12,13,13,13,13,14,14,12,13,13
18,Chicago,26,,20,24,23,23,23,23,25,26,26,22,22,22,23,23,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,Dallas,8,11,11,9,12,11,12,11,10,11,13,9,9,11,11,7,7,7,6,6,6,6,6,8,7,8,8,8,8,8,8,8,8
20,Dallas,20,23,21,22,20,20,22,21,22,22,20,16,22,20,20,16,18,21,21,21,22,21,20,15,20,23,23,23,22,23,20,22,22
21,Dallas,28,16,17,16,18,18,15,15,19,19,19,15,15,20,21,17,16,13,13,13,16,16,16,16,16,16,16,16,16,15,16,16,16
22,Minneapolis,5,5,6,7,7,7,5,5,4,4,5,4,5,5,5,4,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,7
23,Minneapolis,15,17,18,18,18,19,18,17,17,17,15,15,18,21,19,15,16,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14
24,Minneapolis,25,28,33,30,34,34,30,32,30,33,29,31,32,32,32,29,28,29,28,28,27,26,27,27,26,26,26,26,26,27,26,26,26
25,Las Vegas,4,4,4,3,3,3,3,3,3,4,6,9,10,11,11,8,7,7,7,8,8,7,7,7,7,8,8,8,8,6,5,5,5
26,Las Vegas,16,23,25,25,23,21,22,24,19,22,22,21,22,24,25,28,21,19,27,28,26,27,27,26,24,26,25,28,28,28,29,13,13
27,Las Vegas,29,,,29,28,28,30,21,29,28,28,24,25,23,25,21,20,20,24,21,21,22,21,21,21,21,21,20,20,19,19,20,20
28,Orlando,2,3,4,4,4,5,5,5,3,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
29,Orlando,20,,,23,23,23,24,25,25,25,26,21,24,24,24,24,24,24,21,21,21,21,21,21,21,20,19,19,19,18,19,19,19
30,Orlando,30,21,18,23,23,23,18,18,21,21,21,21,19,18,18,12,12,11,10,10,10,10,10,14,16,16,16,16,21,21,22,22,22
31,Tampa,9,10,10,8,7,8,7,5,7,6,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,4,4,3,2,3,2,2
32,Tampa,15,14,16,16,16,17,18,14,15,15,18,12,15,17,20,15,15,15,15,15,15,15,15,15,17,15,15,15,15,15,16,15,15
33,Tampa,27,,,25,29,29,24,24,26,26,26,26,26,26,26,24,25,21,21,21,22,22,21,20,20,20,21,21,20,20,20,21,21
34,Kansas City,8,12,6,12,6,10,8,8,9,9,10,12,12,12,12,8,8,8,8,8,8,8,10,10,10,10,11,10,10,10,9,11,11
35,Kansas City,18,,,,,,25,27,24,24,24,25,25,25,25,25,25,21,22,29,28,22,29,28,28,29,29,25,25,25,28,27,27
36,Kansas City,25,,32,27,27,34,28,34,32,31,30,30,30,30,30,30,30,30,30,30,30,30,26,26,26,26,26,25,25,26,26,26,26
37,Austin,3,2,2,2,2,3,3,7,7,7,8,8,9,10,9,6,5,5,5,5,5,5,5,5,5,6,6,6,6,5,6,6,6
38,Austin,16,19,19,12,12,13,15,15,16,16,17,13,16,17,17,15,16,16,16,15,15,15,16,16,16,16,16,16,15,16,16,17,17
39,Austin,25,,18,23,23,23,23,22,22,21,21,23,19,19,21,21,21,21,18,18,18,17,18,18,19,17,18,18,18,18,18,18,18
40,Nashville,7,,,,13,13,13,10,13,9,10,9,9,11,11,9,8,7,8,8,8,8,8,8,8,8,7,7,8,7,7,7,8
41,Nashville,15,16,15,15,25,25,25,25,25,25,25,22,17,21,21,17,17,17,13,13,13,13,13,13,13,12,12,14,18,18,18,18,18
42,Nashville,24,,30,30,25,25,24,28,26,22,22,24,24,27,27,27,20,20,20,20,20,20,20,20,20,20,23,25,24,24,24,24,24
43,Baltimore,7,7,5,4,3,3,3,4,5,4,3,4,4,4,4,4,4,4,5,5,4,4,4,4,5,5,4,5,5,5,4,5,4
44,Baltimore,18,30,30,30,30,34,34,34,31,31,31,26,27,27,32,28,28,28,28,27,27,26,25,27,27,27,27,28,28,30,30,30,29
45,Baltimore,29,27,24,23,28,28,23,23,28,28,29,27,30,30,30,28,26,26,25,25,23,25,25,24,24,25,25,25,25,27,26,26,26
46,Queens,3,9,8,5,8,8,3,4,6,4,6,8,4,6,5,4,6,7,6,6,6,5,7,6,6,6,6,6,7,5,7,5,4
47,Queens,15,,16,16,18,18,19,19,14,11,10,10,15,15,15,12,12,14,15,14,14,15,15,15,15,14,14,13,13,11,11,11,11
48,Queens,24,15,14,14,15,14,16,16,18,17,20,18,18,18,20,6,6,6,7,6,8,6,7,8,8,7,8,8,8,16,16,15,15
49,Fresno,6,8,8,7,7,6,8,9,9,10,11,10,13,13,13,9,9,9,9,9,8,9,9,9,7,4,4,4,4,4,4,4,5
50,Fresno,14,19,19,16,17,18,22,18,17,17,14,13,13,14,14,17,12,12,12,12,11,11,11,11,16,16,15,14,13,13,14,14,11
51,Fresno,25,,,31,31,31,31,31,29,29,27,27,27,32,32,29,27,27,27,28,28,28,28,28,28,28,28,28,29,29,29,29,29
52,Charleston,4,,8,8,7,7,6,10,9,6,9,7,6,5,10,6,5,5,5,5,5,4,5,4,3,4,5,3,3,3,3,3,3
53,Charleston,13,17,16,18,18,17,17,17,34,34,34,28,28,28,27,29,28,28,28,28,28,28,28,28,13,12,12,12,12,25,24,24,24
54,Charleston,22,,,,,,21,21,19,20,20,19,19,19,19,19,13,13,13,13,13,13,11,11,11,11,11,11,11,11,11,11,11
55,Denver,9,11,12,10,11,13,11,12,10,10,9,10,12,13,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
56,Denver,12,17,18,18,17,18,15,15,14,14,15,14,15,15,14,16,14,14,13,13,14,13,14,15,14,14,13,13,16,12,12,14,14
57,Denver,23,,25,25,25,25,26,26,26,26,25,25,25,26,29,29,23,22,22,21,21,23,25,25,25,23,24,25,25,25,25,27,28
58,Boston,10,15,15,14,15,15,16,15,15,15,15,15,19,20,22,24,12,9,16,11,11,13,13,11,13,12,13,11,9,11,10,14,14
59,Boston,15,,13,11,19,14,14,13,15,15,13,19,12,12,12,12,10,10,10,12,10,10,10,18,14,16,14,13,14,14,14,14,14
60,Boston,29,32,32,29,32,32,33,33,29,31,33,29,31,33,33,26,29,26,26,21,21,22,22,22,22,22,22,28,29,29,21,21,21